ID,Sender,Reciever,From,To,Keywords ,Date
515,Sir William Anstruther ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","London, prestonhall, Ross, pamphlets","December 30, 1690"
516,The Privy Council ,King William ,"55.948889, -3.190556","52.078663, 4.288788","Neville Payne, prisoner, Edinburgh Castle, trial","January 6, 1691"
517,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","army, Cassillis, exchequor, bishoprics, Carstares","January 10, 1691"
518,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Scotland, council, King","January 29, 1691"
519,Viscount Tarbat ,Lord Melville ,,"51.50673486004276, -0.12083646321188168","clergy, God, nation, division","February 12,1691"
520,Sir John Dalrymple ,Lord Melville ,"52.078663, 4.288788","51.50673486004276, -0.12083646321188168","Scotland, news, General Assembly, episcopacy, presbytery, letters, ships, season","February 13, 1691"
521,Sir John Dalrymple ,Lord Melville ,"52.078663, 4.288788","51.50673486004276, -0.12083646321188168","parliament, adjourned, King, Livingston, army, regiment","February 20, 1691"
522,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church, ministers, God, enemies, Perth, King, nation","February 28, 1691"
523,Viscount Tarbat ,Mr. James Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","frenchmen, liars, Leven, Raith","March 20, 1691"
524,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","John Blair, William Mein, danger, letters, security, truth, informer, church, Scotland","March 21, 1691"
525,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","execution, Holland, King, quiet","March 28, 1691"
526,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Perth, Wigton, prisoner, France, money, service","March 31, 1691"
527,Sir Thomas Livingston ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","french invasion, invade, borders, provisions, Inverlochy, letters","April 2, 1691"
528,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church, arms, episcopal, King, Queen, parliament, enemies, presbyterian, General Assembly","April 14, 1691"
529,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","King, return, London","April 18, 1691"
530,Sir Thomas Livingston ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","powder, Holland, ammunition, abroad, Inverlochy, Colonel Hill, garrison, letters, service","April 21, 1691"
531,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","petition, King, provost, Edinburgh, church, Lockhart, government, secrecy, peace, council, whispers","April 25, 1691"
532,The Privy Council ,Lord Melville and Master of Stair ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","nomination, Colonel Hill","April 28, 1691"
533,The Lords of the Treasury ,Lord Melville and Master of Stair ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, kingdom, Slezer, provisions, army, pay","April 30, 1691"
534,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","Duart Castle, highlands, Mons, France, Ireland, Edinburghsoldiers, clans, frigate, Lamb","May 1, 1691"
535,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","officers, Highlanders, service, Duart Castle, Jacobites, France, Ireland, stories, weather","May 12, 1691"
536,Colonel Hill ,Viscount Tarbat ,"56.8262150285, -5.07526803226","53.95763, -1.08271","Crawford, Argyll, Stair, highlanders, oath, Livingston, France, Ireland, assistance, Glencoe, Gordon","May 12, 1691"
537,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","letters, council, highlanders, Lochiel, fortifications","May 15, 1691"
538,Sir John Dalrymple ,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.504444, -0.125556","Hamilton of Halsyd, secretary depute","May 22, 1691"
539,Viscount Tarbat ,Lord Melville ,"53.7106, -1.2795","51.50673486004276, -0.12083646321188168","reprieve, son, Raith, security","May 23, 1691"
540,Earl of Arran ,Lord Raith ,"55.57351, -5.25333","55.948889, -3.190556","Colonel Hill, Hamilton, enemies, King, Queen, Edinburgh Castle, Livingston, invasion, Ireland, France","May 25, 1691"
541,Viscount Tarbat ,Lord Melville ,"53.95763, -1.08271","51.50673486004276, -0.12083646321188168","Colonel Hill, King, country","May 25, 1691"
542,Sir Thomas Livingston ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Queen, Stair, prisoners, Edinburgh Castle, Jacobites, invasion","May 28, 1691"
543,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","highlanders, arms, Mull, Atholl, Lochiel, Skye, foreign force, Argyll, sea, vessel, Isles","June 3, 1691"
544,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","letters, health, indisposed","June 4, 1691"
545,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Breadalbane, London, danger, service, Ireland","June 4, 1691"
546,Sir John Dalrymple ,Lord Melville ,"50.846667, 4.3525","51.50673486004276, -0.12083646321188168","army, King, ministers, Duke of Berwick, Scotland, French army, French","June 8, 1691"
547,Colonel Hill ,Earl of Leven ,"56.8262150285, -5.07526803226","55.948889, -3.190556","french frigates, Skye, Gordon, Berwick, Ireland, Mull, Clyde, Orkney, intelligence","June 9, 1691"
548,Sir Thomas Livingston ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Arran, prison, french frigates, provisions","June 13, 1691"
549,Sir Thomas Livingston ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","french frigates, Skye, provisions, highlanders, Breadalbane, garrison, Bass","June 16, 1691"
550,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","intelligence, island Donan, Skye, highlanders, frigates","June 18, 1691"
551,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Pembroke, Clyde, troublesome, obedience, Captain Everret, Pottinger","June 18, 1691"
552,Sir John Dalrymple ,Lord Melville ,"50.55830, 4.69691","51.50673486004276, -0.12083646321188168","King, Argyll, correspondence, broken, service","June 19, 1691"
553,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Pembroke, Everret, french privateer, council, kingdom, Clyde, coasts","June 23, 1691"
554,Colonel Hill ,Lord Melville ,"56.8262150285, -5.07526803226","51.50673486004276, -0.12083646321188168","clans, Breadalbane, highlands, Lochiel, rebellion, Buchan, Mackay, garrison, Argyll, Raith, Skye","June 26, 1691"
555,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Perth, health, Flanders, Ireland, bishoprics, King","July 2, 1691"
556,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Church, Christians, protestants","July 16, 1691"
557,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Irish army, borders, highlands, Livingston, Colonel Hill, Breadalbane","July 21, 1691"
558,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Lockhart, church, parliament, presbytery","July 23, 1691"
559,Sir John Dalrymple ,Sir Thomas Livingston ,"50.33612050197412, 4.529368054979967","51.50673486004276, -0.12083646321188168","troops, borders, highlands, hostility","July 23, 1691"
560,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Colonel Hill, soldiers, Inverlochy, peace, France","July 25, 1691"
561,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","treasury, precept, King, Lockhart","July 28, 1691"
562,The Privy Council ,Queen Mary ,"55.948889, -3.190556","51.504444, -0.125556","borders, highlands, Livingston, Duke of Leinster, rebels, Inverlochy, Colonel Hill, Glasgow","July 29, 1691"
563,Duke of Hamilton ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Colonel Hill, Livingston","July 29, 1691"
564,Lord Melville ,Sir John Dalrymple ,"51.504444, -0.125556",,"Argyll, news, Scotland, Perth, Queen, Livingston, Breadalbane",July 1691
565,The Privy Council ,Lord Melville ,,"51.50673486004276, -0.12083646321188168","Livingston, forces, kingdom","August 3, 1691"
566,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Queen, army, Stair, Berwick, Nottingham","August 3, 1691"
567,Earl of Nottingham ,Lord Melville ,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","Queen, horses, Yorkshire, peace","August 4, 1691"
568,Sir Thomas Livingston ,Lord Melville ,"55.948889, -3.190556","51.504444, -0.125556","King, Flanders, enemies, Breadalbane, season, encampment, peace, Mackay, secret, highlanders, Atholl","August 4, 1691"
569,Lord Melville ,The Privy Council ,"51.504444, -0.125556",,"Queen, Hill, Livingston, Leinster, forces, Scotland","August 4, 1691"
570,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","son, imprisoned, K. James, Leven","August 20, 1691"
571,Colonel Arrott,Earl of Leven ,"57.47713043399093, -4.223266437465181","55.948889, -3.190556","battalion, fortifications, treasury, church","August 21, 1691"
572,Colonel Hill ,Lord Raith ,"56.8262150285, -5.07526803226","55.948889, -3.190556","peace, Mr Gillis","August 22, 1691"
573,Sir John Dalrymple ,Lord Melville ,"49.07513804802694, 3.4935129160269067","51.50673486004276, -0.12083646321188168","treasury, French, march, Loo, Hague","August 27, 1691"
574,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Livingston, Bass, Stair","August 29, 1691"
575,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","letters, council, adjourned","August 29, 1691"
576,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Andrew Mowat, french, friends, falsehoods, K. James, Breadalbane","August 29, 1691"
577,Lord Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, parliament, indemnity","August 29, 1691"
578,Duke of Hamilton ,Lord Melville ,"55.777595877935354, -4.051868384161004","51.50673486004276, -0.12083646321188168","Breadalbane, Hill, highlanders, France, presbyterians, enemies, government","September 11, 1691"
579,Sir Thomas Livingston ,Earl of Leven ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Maxwell, Fife, highlanders, theifs","September 11, 1691"
580,Viscount Tarbat ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Raith, church, peace","September 19, 1691"
581,Duke of Hamilton ,Lord Melville ,"55.777595877935354, -4.051868384161004","51.50673486004276, -0.12083646321188168","Edinburgh, King, London","October 5, 1691"
582,Earl of Bredalbane ,Colonel Hill ,"56.84435, -5.20045","56.8262150285, -5.07526803226","Flanders, gossip, letters, Hill","October 10, 1691"
583,Duke of Hamilton ,Lord Melville ,"55.47083, -3.65207","51.50673486004276, -0.12083646321188168","King, journey, winter, favor","October 14, 1691"
584,Colonel Hill ,Earl of Bredalbane ,"56.8262150285, -5.07526803226","55.948889, -3.190556","garrison, service, dissatisfaction, highlands, K. James, council, Buchan","October 17, 1691"
585,Colonel Hill ,Lord Raith ,"56.8262150285, -5.07526803226","55.948889, -3.190556","Breadalbane, Canon, K. James, Highland clans, Berwick, Gordon, Livingston, Badenoch","October 29, 1691"
586,Duke of Hamilton ,Lord Melville ,"55.777595877935354, -4.051868384161004","51.50673486004276, -0.12083646321188168","King, peace, Carmichael, Stair","November 2, 1691"
587,Lord Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","treasury, parliament, news","November 20, 1691"
588,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","stranger, scots affairs, Livingston, highlanders","December 26, 1691"
